Path	Lines	Status
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteErrorMessages.TestNoAvailableComp	60	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteErrorMessages.TestTerminatedEe	61	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteErrorMessages.TestNoErrors	62	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteVariablePay.TestCompmPk.RegisteredPk.VarPayPlanOn	62	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.HireTests.NewHire.UsTests.SuiteLasitGui.TestLasit	62	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteEmpNoTimeclock.TestDuplicateEmpnoWithinCompany	62	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteVariablePay.TestCompmPk.RegisteredPk.VarPayPlanOff	62	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SalaryPlanSuite.ChangeSalaryPlanEn	63	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestAddAndRemoveFromAllRows	64	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SalaryPlanSuite.ChangeSalaryPlanFr	64	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.LeaveOfAbsenceReasons.VerifyPageDefaults	64	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SalaryPlanSuite.ChangeSalaryPlanEs	64	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteEmpNoTimeclock.TestDuplicateEmpnoTimeclock1	64	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.ReviewTypes.ReviewTypesPage	64	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.LicenseAndCertifications.VerifyPageDefaults	64	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test12SalaryDiffValues	65	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadianEmploymentEquityAct.PrivateInfoGlobalEmp	65	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteJobGroups.TestJobValDupl2	66	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.JobChangeReason.CheckPageDefaults	66	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteDeepLink.DeepLinkToEducation	66	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.MyselfEssPayCurrentUsaSuppressDed	66	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.MyselfEssYtdSummaryUsaSuppressDed	66	Not Started
GlobalHr.SuiteGuiTests.Google508Compliance.TabbingAtEndOfMenuTest	67	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteDeepLink.DeepLinkToMyselfSummary	68	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestInvalidRequiredDateSave	68	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteEmpNoTimeclock.TestDuplicateEmpnoAcrossCompanies	68	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EssContactAddress	68	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.EeAdminDedSummUsaSuppressDed	69	Not Started
GlobalHr.SuiteGuiTests.SuiteSettings.CompensationManagement.CanViewChangeCompensationPage	69	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteAwards.AddAndRemoveTest	69	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarningsCodes.TestEditCanEarnHcsoWithHistory	69	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.InfoStringsForSuppressedDedMssUsa	70	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitPlans.SuiteGlobalBenefitPlans.TestRatesPage	71	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EeadminContactAddress	72	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.TaxPages	73	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteSystemSettings.TestBusinessRulesIsSystemFlag	73	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteWindowManager.TestCloseChildBrowsers	73	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteSuperFinder.UserfinderFilters	73	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuitePersonal.TestAddressState	73	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.InfoNoStringsForUnSuppressedDedMssUsa	73	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterSessionPersistance.TestPreserveFilter	73	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.AwardsAndRecognition.CheckPageDefaults	74	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarnings.TestEarningsAddAsSiteAdmin	75	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.MyTeamMssDeducSummUsaSuppress	75	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedGridDelete	75	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.GloblPkAndNoSmcAccess	76	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteVariablePay.TestCompmPk.UnregisteredPk.VarPayPlanOn	77	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteVariablePay.TestCompmPk.UnregisteredPk.VarPayPlanOff	77	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteDatesPage.TestPageUiEn	78	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.PayGroupHoursChange	78	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteJobsPage.TestDefaultValues2	78	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteEmpNoTimeclock.TestDuplicateEmpnoTimeclock2	79	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsToolbar.TestWfNotificationServerEvents	79	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.EeAdminYtdSummaryUsaSuppressDed	79	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.HireSource.VerifyPageDefaults	79	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.CodeFilterJobChangeSuite.ChangeJob	80	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.TestDuplicateLocations	80	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.SuiteGlobalFieldSizing.TestFieldSizingMySelf	81	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SalaryPlanSuite.SalaryPlanningPercentChange	81	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.VariablePayHideForGlobalEmployees	82	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.NoGloblPkAndNoSmcAccess	82	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.CodeFilterJobChangeSuite.ChangeJobAndSalary	83	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.ModifyGlobalEmp	83	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.UnusedOrgLevels	83	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.PersonalTab.MssAddressCountryChange	84	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.TestSavingUserPreferences	86	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteWindowManager.TestSessionEndOnExit	86	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.MyselfMenu	87	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.MyTeamYtdSummaryUsaSuppresDeduc	87	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.MyselfMenu	87	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.MssContactTestCountryDefaults	87	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.GloblPkAndSmcAccess	88	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.MssChkAddressIfDifferentGlobal	89	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.MssChkAddressIfDifferent	89	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.HireEditHeaders	89	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.SecuredDataLevel.SdlOrg4	89	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SecondaryJobTicdLink	89	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteJobsPage.TestDefaultValues1	89	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.SecuredDataLevel.SdlOrg3	90	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.TestPtoPlans	90	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteDatesPage.TestPageUiEn	90	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.CodeDesOfRelationFieldsInDeductions	92	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteOutOfOffice.PagingAndUpdateTest	92	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.SalaryPlanSuite.SalaryPlanningScheduledHours	92	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.TimeInJobEssMss	93	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EssChkAddressIfDifferentGlobal	94	Not Started
GlobalHr.SuiteGuiTests.SuiteWebFramework.TestToolbarBizProcessSecure	94	Not Started
